Column,Metric,Score,df_type,synthesizer_type
countryCode,TVComplement,0.9785999999999999,10000 row 0 missing,GC
dateOfBirth,KSComplement,0.9215,10000 row 0 missing,GC
generation,TVComplement,0.9983000000000001,10000 row 0 missing,GC
Language,TVComplement,0.9835,10000 row 0 missing,GC
rating,KSComplement,0.8124,10000 row 0 missing,GC
gender,TVComplement,0.9955999999999999,10000 row 0 missing,GC
pilStatus,TVComplement,0.9933000000000001,10000 row 0 missing,GC
countryCode,TVComplement,0.9756123938287821,10000 row 10 missing,GC
dateOfBirth,KSComplement,0.9183406696644769,10000 row 10 missing,GC
generation,TVComplement,0.9928568085008078,10000 row 10 missing,GC
Language,TVComplement,0.9822349374289221,10000 row 10 missing,GC
rating,KSComplement,0.8324393950959601,10000 row 10 missing,GC
gender,TVComplement,0.996578822227652,10000 row 10 missing,GC
pilStatus,TVComplement,0.9967923569843103,10000 row 10 missing,GC
countryCode,TVComplement,0.9685772789393735,10000 row 20 missing,GC
dateOfBirth,KSComplement,0.9096568332650946,10000 row 20 missing,GC
generation,TVComplement,0.9884889358201615,10000 row 20 missing,GC
Language,TVComplement,0.9786190066321656,10000 row 20 missing,GC
rating,KSComplement,0.8422688113767819,10000 row 20 missing,GC
gender,TVComplement,0.996693559904969,10000 row 20 missing,GC
pilStatus,TVComplement,0.9982965131267154,10000 row 20 missing,GC
countryCode,TVComplement,0.98948,25000 row 0 missing,GC
dateOfBirth,KSComplement,0.92092,25000 row 0 missing,GC
generation,TVComplement,0.99888,25000 row 0 missing,GC
Language,TVComplement,0.9906,25000 row 0 missing,GC
rating,KSComplement,0.8295600000000001,25000 row 0 missing,GC
gender,TVComplement,0.9960399999999999,25000 row 0 missing,GC
pilStatus,TVComplement,0.9948,25000 row 0 missing,GC
countryCode,TVComplement,0.9842823133488273,25000 row 10 missing,GC
dateOfBirth,KSComplement,0.9207617371264806,25000 row 10 missing,GC
generation,TVComplement,0.9990747668843367,25000 row 10 missing,GC
Language,TVComplement,0.9867735502347385,25000 row 10 missing,GC
rating,KSComplement,0.8401566795051937,25000 row 10 missing,GC
gender,TVComplement,0.9937429918395935,25000 row 10 missing,GC
pilStatus,TVComplement,0.9991909662697775,25000 row 10 missing,GC
countryCode,TVComplement,0.9812630194759888,25000 row 20 missing,GC
dateOfBirth,KSComplement,0.9342578944508156,25000 row 20 missing,GC
generation,TVComplement,0.9961226951353034,25000 row 20 missing,GC
Language,TVComplement,0.9876823920555466,25000 row 20 missing,GC
rating,KSComplement,0.8538696817217248,25000 row 20 missing,GC
gender,TVComplement,0.9982623036321958,25000 row 20 missing,GC
pilStatus,TVComplement,0.9940676553011355,25000 row 20 missing,GC
countryCode,TVComplement,0.99004,50000 row 0 missing,GC
dateOfBirth,KSComplement,0.92416,50000 row 0 missing,GC
generation,TVComplement,0.9970600000000001,50000 row 0 missing,GC
Language,TVComplement,0.99236,50000 row 0 missing,GC
rating,KSComplement,0.81786,50000 row 0 missing,GC
gender,TVComplement,0.99786,50000 row 0 missing,GC
pilStatus,TVComplement,0.9967999999999999,50000 row 0 missing,GC
countryCode,TVComplement,0.9880747845349664,50000 row 10 missing,GC
dateOfBirth,KSComplement,0.9276704457658502,50000 row 10 missing,GC
generation,TVComplement,0.999091146660325,50000 row 10 missing,GC
Language,TVComplement,0.9844212791276664,50000 row 10 missing,GC
rating,KSComplement,0.8235538878616537,50000 row 10 missing,GC
gender,TVComplement,0.9999847745277827,50000 row 10 missing,GC
pilStatus,TVComplement,0.999514601018155,50000 row 10 missing,GC
countryCode,TVComplement,0.9730977637186301,50000 row 20 missing,GC
dateOfBirth,KSComplement,0.9265578415368465,50000 row 20 missing,GC
generation,TVComplement,0.9818884890092926,50000 row 20 missing,GC
Language,TVComplement,0.9661484450084629,50000 row 20 missing,GC
rating,KSComplement,0.7875824025972997,50000 row 20 missing,GC
gender,TVComplement,0.9932714177482151,50000 row 20 missing,GC
pilStatus,TVComplement,0.9917416704798608,50000 row 20 missing,GC
countryCode,TVComplement,0.6557000000000002,10000 row 0 missing,CTGAN
dateOfBirth,KSComplement,0.8376,10000 row 0 missing,CTGAN
generation,TVComplement,0.7443,10000 row 0 missing,CTGAN
Language,TVComplement,0.6493999999999998,10000 row 0 missing,CTGAN
