Column,Metric,Score,df_type,synthesizer_type
countryCode,TVComplement,0.9809,10000 row 0 missing,GC
dateOfBirth,KSComplement,0.9242,10000 row 0 missing,GC
generation,TVComplement,0.9979,10000 row 0 missing,GC
Language,TVComplement,0.9863,10000 row 0 missing,GC
rating,KSComplement,0.8267,10000 row 0 missing,GC
gender,TVComplement,0.9929,10000 row 0 missing,GC
pilStatus,TVComplement,0.9987,10000 row 0 missing,GC
countryCode,TVComplement,0.9755390319067538,10000 row 10 missing,GC
dateOfBirth,KSComplement,0.9350135875062718,10000 row 10 missing,GC
generation,TVComplement,0.994723132104653,10000 row 10 missing,GC
Language,TVComplement,0.9793232405236253,10000 row 10 missing,GC
rating,KSComplement,0.8356844653157326,10000 row 10 missing,GC
gender,TVComplement,0.9989072107683636,10000 row 10 missing,GC
pilStatus,TVComplement,0.997200130474515,10000 row 10 missing,GC
countryCode,TVComplement,0.9673244997664828,10000 row 20 missing,GC
dateOfBirth,KSComplement,0.9379416945173554,10000 row 20 missing,GC
generation,TVComplement,0.9988287438813875,10000 row 20 missing,GC
Language,TVComplement,0.9837846097806698,10000 row 20 missing,GC
rating,KSComplement,0.8362049840252653,10000 row 20 missing,GC
gender,TVComplement,0.9978880031187517,10000 row 20 missing,GC
pilStatus,TVComplement,0.995151582628527,10000 row 20 missing,GC
countryCode,TVComplement,0.98196,25000 row 0 missing,GC
dateOfBirth,KSComplement,0.92208,25000 row 0 missing,GC
generation,TVComplement,0.99732,25000 row 0 missing,GC
Language,TVComplement,0.99232,25000 row 0 missing,GC
rating,KSComplement,0.81984,25000 row 0 missing,GC
gender,TVComplement,0.99656,25000 row 0 missing,GC
pilStatus,TVComplement,0.9986,25000 row 0 missing,GC
countryCode,TVComplement,0.9841578790501476,25000 row 10 missing,GC
dateOfBirth,KSComplement,0.9195480858449672,25000 row 10 missing,GC
generation,TVComplement,0.9940843388744198,25000 row 10 missing,GC
Language,TVComplement,0.9882036897693601,25000 row 10 missing,GC
rating,KSComplement,0.8281564847973282,25000 row 10 missing,GC
gender,TVComplement,0.996100096600944,25000 row 10 missing,GC
pilStatus,TVComplement,0.9966309995678505,25000 row 10 missing,GC
countryCode,TVComplement,0.984126027256393,25000 row 20 missing,GC
dateOfBirth,KSComplement,0.9396453491540209,25000 row 20 missing,GC
generation,TVComplement,0.994716933810835,25000 row 20 missing,GC
Language,TVComplement,0.9881553551096504,25000 row 20 missing,GC
rating,KSComplement,0.8234109687542676,25000 row 20 missing,GC
gender,TVComplement,0.9940619950381655,25000 row 20 missing,GC
pilStatus,TVComplement,0.9938654290601212,25000 row 20 missing,GC
countryCode,TVComplement,0.99048,50000 row 0 missing,GC
dateOfBirth,KSComplement,0.92224,50000 row 0 missing,GC
generation,TVComplement,0.9997,50000 row 0 missing,GC
Language,TVComplement,0.99256,50000 row 0 missing,GC
rating,KSComplement,0.79396,50000 row 0 missing,GC
gender,TVComplement,0.9983,50000 row 0 missing,GC
pilStatus,TVComplement,0.99972,50000 row 0 missing,GC
countryCode,TVComplement,0.9871194480888037,50000 row 10 missing,GC
dateOfBirth,KSComplement,0.9309709944036506,50000 row 10 missing,GC
generation,TVComplement,0.9979062619629099,50000 row 10 missing,GC
Language,TVComplement,0.9913253034488048,50000 row 10 missing,GC
rating,KSComplement,0.7981629632221774,50000 row 10 missing,GC
