Column,Metric,Score,df_type,synthesizer_type
countryCode,TVComplement,0.984,10000 row 0 missing,GC
dateOfBirth,KSComplement,0.9178999999999999,10000 row 0 missing,GC
generation,TVComplement,0.9961000000000001,10000 row 0 missing,GC
Language,TVComplement,0.9771,10000 row 0 missing,GC
rating,KSComplement,0.8248,10000 row 0 missing,GC
gender,TVComplement,0.9954999999999999,10000 row 0 missing,GC
pilStatus,TVComplement,0.996,10000 row 0 missing,GC
countryCode,TVComplement,0.9766365147142813,10000 row 10 missing,GC
dateOfBirth,KSComplement,0.9041917818306914,10000 row 10 missing,GC
generation,TVComplement,0.9887590051686512,10000 row 10 missing,GC
Language,TVComplement,0.9847837901891958,10000 row 10 missing,GC
rating,KSComplement,0.8351431294131829,10000 row 10 missing,GC
gender,TVComplement,0.99552334596534,10000 row 10 missing,GC
pilStatus,TVComplement,0.9951761958501982,10000 row 10 missing,GC
countryCode,TVComplement,0.9758815839391884,10000 row 20 missing,GC
dateOfBirth,KSComplement,0.9353633710154158,10000 row 20 missing,GC
generation,TVComplement,0.9932973928496658,10000 row 20 missing,GC
Language,TVComplement,0.9808251325106162,10000 row 20 missing,GC
rating,KSComplement,0.8299620017699486,10000 row 20 missing,GC
gender,TVComplement,0.9938184390799166,10000 row 20 missing,GC
pilStatus,TVComplement,0.9918478920880847,10000 row 20 missing,GC
countryCode,TVComplement,0.9858,25000 row 0 missing,GC
dateOfBirth,KSComplement,0.91972,25000 row 0 missing,GC
generation,TVComplement,0.99724,25000 row 0 missing,GC
Language,TVComplement,0.9873999999999999,25000 row 0 missing,GC
rating,KSComplement,0.8213199999999999,25000 row 0 missing,GC
gender,TVComplement,0.9988,25000 row 0 missing,GC
pilStatus,TVComplement,0.9994000000000001,25000 row 0 missing,GC
countryCode,TVComplement,0.9839098249811351,25000 row 10 missing,GC
dateOfBirth,KSComplement,0.9292383706646807,25000 row 10 missing,GC
generation,TVComplement,0.995746857091701,25000 row 10 missing,GC
Language,TVComplement,0.9890735614356752,25000 row 10 missing,GC
rating,KSComplement,0.8254483321159889,25000 row 10 missing,GC
gender,TVComplement,0.998749412307517,25000 row 10 missing,GC
pilStatus,TVComplement,0.9955701066490256,25000 row 10 missing,GC
countryCode,TVComplement,0.9766652109575745,25000 row 20 missing,GC
dateOfBirth,KSComplement,0.9347752163243607,25000 row 20 missing,GC
generation,TVComplement,0.9943614552817793,25000 row 20 missing,GC
Language,TVComplement,0.9848146169849537,25000 row 20 missing,GC
rating,KSComplement,0.8347319225987035,25000 row 20 missing,GC
gender,TVComplement,0.9987141795165899,25000 row 20 missing,GC
pilStatus,TVComplement,0.9965704060360762,25000 row 20 missing,GC
countryCode,TVComplement,0.99024,50000 row 0 missing,GC
dateOfBirth,KSComplement,0.9172,50000 row 0 missing,GC
generation,TVComplement,0.99856,50000 row 0 missing,GC
Language,TVComplement,0.99424,50000 row 0 missing,GC
rating,KSComplement,0.79506,50000 row 0 missing,GC
gender,TVComplement,0.99944,50000 row 0 missing,GC
pilStatus,TVComplement,0.99656,50000 row 0 missing,GC
countryCode,TVComplement,0.9867225959954095,50000 row 10 missing,GC
