variable,value,Simulated
TVAE_10000_0,-0.5786061124693658,-0.5542868585439407
TVAE_10000_0,-0.5863589968964044,-0.5542868585439407
TVAE_10000_0,-0.5679658716411822,-0.5542868585439407
TVAE_10000_0,-0.5666085138333496,-0.5542868585439407
TVAE_10000_0,-0.5767295404622896,-0.5542868585439407
TVAE_10000_0,-0.5693614850668653,-0.5542868585439407
TVAE_10000_0,-0.5861753517018545,-0.5542868585439407
TVAE_10000_0,-0.5822637249289986,-0.5542868585439407
TVAE_10000_0,-0.5818961446501907,-0.5542868585439407
TVAE_10000_0,-0.58364773648001,-0.5542868585439407
TVAE_10000_0,-0.5818382947341988,-0.5542868585439407
TVAE_10000_0,-0.5713593471204566,-0.5542868585439407
TVAE_10000_0,-0.5745032003251394,-0.5542868585439407
TVAE_10000_0,-0.6001479846747237,-0.5542868585439407
TVAE_10000_0,-0.5745842564954058,-0.5542868585439407
TVAE_10000_0,-0.5747553633858941,-0.5542868585439407
TVAE_10000_0,-0.5805046218085245,-0.5542868585439407
TVAE_10000_0,-0.6008014848335699,-0.5542868585439407
TVAE_10000_0,-0.5977385408951337,-0.5542868585439407
TVAE_10000_0,-0.5879568665499207,-0.5542868585439407
TVAE_10000_0,-0.5768228594597823,-0.5542868585439407
TVAE_10000_0,-0.5723103747190574,-0.5542868585439407
TVAE_10000_0,-0.5574165048595228,-0.5542868585439407
TVAE_10000_0,-0.5656707141931465,-0.5542868585439407
TVAE_10000_0,-0.584377956636944,-0.5542868585439407
TVAE_10000_0,-0.5750198626797223,-0.5542868585439407
TVAE_10000_0,-0.5709200620627932,-0.5542868585439407
TVAE_10000_0,-0.5957601175519331,-0.5542868585439407
TVAE_10000_0,-0.5602108875724519,-0.5542868585439407
TVAE_10000_0,-0.554514167094959,-0.5542868585439407
TVAE_10000_0,-0.5953465481230557,-0.5542868585439407
TVAE_10000_0,-0.5799154899944916,-0.5542868585439407
TVAE_10000_0,-0.5845694692548871,-0.5542868585439407
TVAE_10000_0,-0.5932721880006638,-0.5542868585439407
TVAE_10000_0,-0.5807988146481704,-0.5542868585439407
TVAE_10000_0,-0.5844746728248575,-0.5542868585439407
TVAE_10000_0,-0.5765825475666939,-0.5542868585439407
TVAE_10000_0,-0.5624972896467505,-0.5542868585439407
TVAE_10000_0,-0.6027012850476758,-0.5542868585439407
TVAE_10000_0,-0.5724570778483834,-0.5542868585439407
TVAE_10000_0,-0.5927802127013724,-0.5542868585439407
TVAE_10000_0,-0.5790112182512085,-0.5542868585439407
TVAE_10000_0,-0.5705813297917202,-0.5542868585439407
TVAE_10000_0,-0.5844585772144557,-0.5542868585439407
TVAE_10000_0,-0.5936633186446654,-0.5542868585439407
TVAE_10000_0,-0.5896574313115241,-0.5542868585439407
TVAE_10000_0,-0.569205876053476,-0.5542868585439407
TVAE_10000_0,-0.6028616841347166,-0.5542868585439407
TVAE_10000_0,-0.5844181374097815,-0.5542868585439407
TVAE_10000_0,-0.5781508735547906,-0.5542868585439407
TVAE_10000_0,-0.5851659275415935,-0.5542868585439407
TVAE_10000_0,-0.5612507035345004,-0.5542868585439407
TVAE_10000_0,-0.5890618027095725,-0.5542868585439407
TVAE_10000_0,-0.5768276940746563,-0.5542868585439407
TVAE_10000_0,-0.573485521107255,-0.5542868585439407
TVAE_10000_0,-0.5649806719417324,-0.5542868585439407
TVAE_10000_0,-0.5788259749281491,-0.5542868585439407
TVAE_10000_0,-0.5793873908558067,-0.5542868585439407
TVAE_10000_0,-0.5882425085809633,-0.5542868585439407
TVAE_10000_0,-0.5710210336534304,-0.5542868585439407
TVAE_10000_0,-0.5858980079585248,-0.5542868585439407
TVAE_10000_0,-0.5759670152022434,-0.5542868585439407
TVAE_10000_0,-0.5761309142418995,-0.5542868585439407
TVAE_10000_0,-0.5735954331893844,-0.5542868585439407
TVAE_10000_0,-0.5881252791966025,-0.5542868585439407
TVAE_10000_0,-0.5883574883764995,-0.5542868585439407
TVAE_10000_0,-0.5794464953236904,-0.5542868585439407
TVAE_10000_0,-0.5734140895166691,-0.5542868585439407
TVAE_10000_0,-0.5855465739969858,-0.5542868585439407
TVAE_10000_0,-0.5789787076294051,-0.5542868585439407
TVAE_10000_0,-0.590112831836219,-0.5542868585439407
TVAE_10000_0,-0.5856583296869523,-0.5542868585439407
TVAE_10000_0,-0.5665736605627433,-0.5542868585439407
TVAE_10000_0,-0.5846379247813552,-0.5542868585439407
TVAE_10000_0,-0.5867799369688302,-0.5542868585439407
TVAE_10000_0,-0.5645232163678539,-0.5542868585439407
TVAE_10000_0,-0.5768200862094384,-0.5542868585439407
TVAE_10000_0,-0.5796514034112413,-0.5542868585439407
TVAE_10000_0,-0.5826400772626277,-0.5542868585439407
TVAE_10000_0,-0.5769261271712347,-0.5542868585439407
TVAE_10000_0,-0.5549355075320356,-0.5542868585439407
TVAE_10000_0,-0.5769560730170605,-0.5542868585439407
TVAE_10000_0,-0.5768069513340196,-0.5542868585439407
TVAE_10000_0,-0.5782234322849433,-0.5542868585439407
TVAE_10000_0,-0.5732048205442958,-0.5542868585439407
TVAE_10000_0,-0.5860686750403177,-0.5542868585439407
TVAE_10000_0,-0.5791638041634344,-0.5542868585439407
TVAE_10000_0,-0.5654961941795162,-0.5542868585439407
TVAE_10000_0,-0.5809105330721798,-0.5542868585439407
TVAE_10000_0,-0.5911133386996172,-0.5542868585439407
TVAE_10000_0,-0.581553574330269,-0.5542868585439407
TVAE_10000_0,-0.5938546150271261,-0.5542868585439407
TVAE_10000_0,-0.571422063478183,-0.5542868585439407
TVAE_10000_0,-0.5938414097165201,-0.5542868585439407
TVAE_10000_0,-0.576953098418839,-0.5542868585439407
TVAE_10000_0,-0.5862752194375414,-0.5542868585439407
TVAE_10000_0,-0.5727133655876162,-0.5542868585439407
TVAE_10000_0,-0.5840318374855481,-0.5542868585439407
TVAE_10000_0,-0.5692514261623749,-0.5542868585439407
TVAE_10000_0,-0.5848957281510307,-0.5542868585439407
CTGAN_10000_0,-0.7761438939960167,-0.5542868585439407
CTGAN_10000_0,-0.7729738548610097,-0.5542868585439407
CTGAN_10000_0,-0.7727643080748119,-0.5542868585439407
CTGAN_10000_0,-0.7846456137379636,-0.5542868585439407
CTGAN_10000_0,-0.7801163665924928,-0.5542868585439407
CTGAN_10000_0,-0.7791910514363358,-0.5542868585439407
