variable,value,Simulated
TVAE_10000_0,-0.1567289513521103,-0.2161305576835682
TVAE_10000_0,-0.1483440633120391,-0.2161305576835682
TVAE_10000_0,-0.1557771460382212,-0.2161305576835682
TVAE_10000_0,-0.1159162554082575,-0.2161305576835682
TVAE_10000_0,-0.146646379853005,-0.2161305576835682
TVAE_10000_0,-0.1212277907252692,-0.2161305576835682
TVAE_10000_0,-0.1291814401964887,-0.2161305576835682
TVAE_10000_0,-0.1765600165756008,-0.2161305576835682
TVAE_10000_0,-0.1254493068631296,-0.2161305576835682
TVAE_10000_0,-0.141856764451785,-0.2161305576835682
TVAE_10000_0,-0.1426740726752724,-0.2161305576835682
TVAE_10000_0,-0.171454568373133,-0.2161305576835682
TVAE_10000_0,-0.1283245543093782,-0.2161305576835682
TVAE_10000_0,-0.1527506929069873,-0.2161305576835682
TVAE_10000_0,-0.1569244732288692,-0.2161305576835682
TVAE_10000_0,-0.1440072948735112,-0.2161305576835682
TVAE_10000_0,-0.1398323715253024,-0.2161305576835682
TVAE_10000_0,-0.131518118340903,-0.2161305576835682
TVAE_10000_0,-0.1373670917148306,-0.2161305576835682
TVAE_10000_0,-0.1213064149493908,-0.2161305576835682
TVAE_10000_0,-0.1531279181601769,-0.2161305576835682
TVAE_10000_0,-0.1398236572629246,-0.2161305576835682
TVAE_10000_0,-0.1103187734278029,-0.2161305576835682
TVAE_10000_0,-0.1515043849418503,-0.2161305576835682
TVAE_10000_0,-0.1505103459723407,-0.2161305576835682
TVAE_10000_0,-0.1568405135320032,-0.2161305576835682
TVAE_10000_0,-0.1586708871424909,-0.2161305576835682
TVAE_10000_0,-0.154569529151174,-0.2161305576835682
TVAE_10000_0,-0.1443099049634509,-0.2161305576835682
TVAE_10000_0,-0.1629062129876451,-0.2161305576835682
TVAE_10000_0,-0.1506749159020136,-0.2161305576835682
TVAE_10000_0,-0.1359005710077988,-0.2161305576835682
TVAE_10000_0,-0.1443432053094162,-0.2161305576835682
TVAE_10000_0,-0.1430261347416729,-0.2161305576835682
TVAE_10000_0,-0.1543224359349768,-0.2161305576835682
TVAE_10000_0,-0.1453961129429415,-0.2161305576835682
TVAE_10000_0,-0.1629641275200167,-0.2161305576835682
TVAE_10000_0,-0.1432386548646342,-0.2161305576835682
TVAE_10000_0,-0.1533239004841119,-0.2161305576835682
TVAE_10000_0,-0.1427843024647231,-0.2161305576835682
TVAE_10000_0,-0.1592255020516826,-0.2161305576835682
TVAE_10000_0,-0.1363744456144688,-0.2161305576835682
TVAE_10000_0,-0.1254396829486331,-0.2161305576835682
TVAE_10000_0,-0.1346876486233911,-0.2161305576835682
TVAE_10000_0,-0.135795190639525,-0.2161305576835682
TVAE_10000_0,-0.1503734254939039,-0.2161305576835682
TVAE_10000_0,-0.1338618492571854,-0.2161305576835682
TVAE_10000_0,-0.1637595481660036,-0.2161305576835682
TVAE_10000_0,-0.1422911006827172,-0.2161305576835682
TVAE_10000_0,-0.1540069143367052,-0.2161305576835682
TVAE_10000_0,-0.1624640270363686,-0.2161305576835682
TVAE_10000_0,-0.1310827803375818,-0.2161305576835682
TVAE_10000_0,-0.1291038226803537,-0.2161305576835682
TVAE_10000_0,-0.151834863817226,-0.2161305576835682
TVAE_10000_0,-0.1491003205673712,-0.2161305576835682
TVAE_10000_0,-0.1481161740535375,-0.2161305576835682
TVAE_10000_0,-0.1459395798944318,-0.2161305576835682
TVAE_10000_0,-0.1691350488734619,-0.2161305576835682
TVAE_10000_0,-0.1428800411579447,-0.2161305576835682
TVAE_10000_0,-0.1469537969482726,-0.2161305576835682
TVAE_10000_0,-0.1241557094811363,-0.2161305576835682
TVAE_10000_0,-0.1375071674773458,-0.2161305576835682
TVAE_10000_0,-0.1498410140943114,-0.2161305576835682
TVAE_10000_0,-0.1518772554811295,-0.2161305576835682
TVAE_10000_0,-0.1533578469187184,-0.2161305576835682
TVAE_10000_0,-0.1511549022120975,-0.2161305576835682
TVAE_10000_0,-0.1620158542094554,-0.2161305576835682
TVAE_10000_0,-0.1490255168327883,-0.2161305576835682
TVAE_10000_0,-0.1364054947697343,-0.2161305576835682
TVAE_10000_0,-0.1341642797443316,-0.2161305576835682
TVAE_10000_0,-0.1462828646323354,-0.2161305576835682
TVAE_10000_0,-0.1490366944666614,-0.2161305576835682
TVAE_10000_0,-0.1412656774117007,-0.2161305576835682
TVAE_10000_0,-0.1507175356959639,-0.2161305576835682
TVAE_10000_0,-0.128971602227041,-0.2161305576835682
TVAE_10000_0,-0.1158295953064955,-0.2161305576835682
TVAE_10000_0,-0.1545291450563622,-0.2161305576835682
TVAE_10000_0,-0.1336264309068407,-0.2161305576835682
TVAE_10000_0,-0.1235507532155609,-0.2161305576835682
TVAE_10000_0,-0.1388163645128173,-0.2161305576835682
TVAE_10000_0,-0.1304876814998545,-0.2161305576835682
TVAE_10000_0,-0.1521499523751675,-0.2161305576835682
TVAE_10000_0,-0.1406939449247001,-0.2161305576835682
TVAE_10000_0,-0.1176743911599165,-0.2161305576835682
TVAE_10000_0,-0.1487123280895469,-0.2161305576835682
TVAE_10000_0,-0.1334056170112598,-0.2161305576835682
TVAE_10000_0,-0.1427634878660431,-0.2161305576835682
TVAE_10000_0,-0.1473698993193438,-0.2161305576835682
TVAE_10000_0,-0.1588459909769854,-0.2161305576835682
TVAE_10000_0,-0.1499969478903441,-0.2161305576835682
TVAE_10000_0,-0.1133261252841929,-0.2161305576835682
TVAE_10000_0,-0.1386500608300914,-0.2161305576835682
TVAE_10000_0,-0.163710687940732,-0.2161305576835682
TVAE_10000_0,-0.1379210892758911,-0.2161305576835682
TVAE_10000_0,-0.1223978040315713,-0.2161305576835682
TVAE_10000_0,-0.1393468418720286,-0.2161305576835682
TVAE_10000_0,-0.1480562254710433,-0.2161305576835682
TVAE_10000_0,-0.138955276648127,-0.2161305576835682
TVAE_10000_0,-0.1463382443902926,-0.2161305576835682
TVAE_10000_0,-0.1445712277352227,-0.2161305576835682
CTGAN_10000_0,-0.4169480560851627,-0.2161305576835682
CTGAN_10000_0,-0.4175271557505385,-0.2161305576835682
CTGAN_10000_0,-0.4236887965215308,-0.2161305576835682
CTGAN_10000_0,-0.395632395038211,-0.2161305576835682
CTGAN_10000_0,-0.4413591358686577,-0.2161305576835682
CTGAN_10000_0,-0.4095441518054279,-0.2161305576835682
CTGAN_10000_0,-0.3938471148876089,-0.2161305576835682
CTGAN_10000_0,-0.4163857806181635,-0.2161305576835682
CTGAN_10000_0,-0.4185401823359729,-0.2161305576835682
CTGAN_10000_0,-0.4468152524841659,-0.2161305576835682
CTGAN_10000_0,-0.4249690182808225,-0.2161305576835682
CTGAN_10000_0,-0.4088178608695478,-0.2161305576835682
CTGAN_10000_0,-0.4363707002794267,-0.2161305576835682
CTGAN_10000_0,-0.4203289269683282,-0.2161305576835682
CTGAN_10000_0,-0.424889352621239,-0.2161305576835682
CTGAN_10000_0,-0.4112024757998511,-0.2161305576835682
CTGAN_10000_0,-0.430238259642945,-0.2161305576835682
CTGAN_10000_0,-0.4311806109014069,-0.2161305576835682
CTGAN_10000_0,-0.4322518037175402,-0.2161305576835682
CTGAN_10000_0,-0.4110229450701961,-0.2161305576835682
CTGAN_10000_0,-0.4286990135086934,-0.2161305576835682
CTGAN_10000_0,-0.4200602079234662,-0.2161305576835682
CTGAN_10000_0,-0.4172053144798245,-0.2161305576835682
CTGAN_10000_0,-0.4237827808610965,-0.2161305576835682
CTGAN_10000_0,-0.4417983166577738,-0.2161305576835682
CTGAN_10000_0,-0.4147058046778675,-0.2161305576835682
CTGAN_10000_0,-0.4038452428784717,-0.2161305576835682
CTGAN_10000_0,-0.4198315500901505,-0.2161305576835682
CTGAN_10000_0,-0.4264315949814061,-0.2161305576835682
CTGAN_10000_0,-0.4184137032501162,-0.2161305576835682
CTGAN_10000_0,-0.4464692689923962,-0.2161305576835682
CTGAN_10000_0,-0.4227991149359242,-0.2161305576835682
CTGAN_10000_0,-0.4325335390312124,-0.2161305576835682
CTGAN_10000_0,-0.4367974334971705,-0.2161305576835682
CTGAN_10000_0,-0.4049112186208377,-0.2161305576835682
CTGAN_10000_0,-0.4370978564275946,-0.2161305576835682
CTGAN_10000_0,-0.4339796066049957,-0.2161305576835682
