variable,value,Simulated
TVAE_10000_0,-0.1682922632719046,-0.4246381153893714
TVAE_10000_0,-0.1872164901692589,-0.4246381153893714
TVAE_10000_0,-0.1532596333801312,-0.4246381153893714
TVAE_10000_0,-0.1747629413373558,-0.4246381153893714
TVAE_10000_0,-0.1815070072290689,-0.4246381153893714
TVAE_10000_0,-0.1827373223722203,-0.4246381153893714
TVAE_10000_0,-0.1718011188504122,-0.4246381153893714
TVAE_10000_0,-0.162333131432405,-0.4246381153893714
TVAE_10000_0,-0.1522726160339651,-0.4246381153893714
TVAE_10000_0,-0.1540843524872744,-0.4246381153893714
TVAE_10000_0,-0.1840860906245745,-0.4246381153893714
TVAE_10000_0,-0.1650033931314047,-0.4246381153893714
TVAE_10000_0,-0.1527939558262047,-0.4246381153893714
TVAE_10000_0,-0.1857063025482759,-0.4246381153893714
TVAE_10000_0,-0.164947512019205,-0.4246381153893714
TVAE_10000_0,-0.1932014512137229,-0.4246381153893714
TVAE_10000_0,-0.1887531646332431,-0.4246381153893714
TVAE_10000_0,-0.1818999682564447,-0.4246381153893714
TVAE_10000_0,-0.1715345937828715,-0.4246381153893714
TVAE_10000_0,-0.1865152968461039,-0.4246381153893714
TVAE_10000_0,-0.1625828967067011,-0.4246381153893714
TVAE_10000_0,-0.1567817219637522,-0.4246381153893714
TVAE_10000_0,-0.1659455040103065,-0.4246381153893714
TVAE_10000_0,-0.1619903495449863,-0.4246381153893714
TVAE_10000_0,-0.1719971467631605,-0.4246381153893714
TVAE_10000_0,-0.184090219125849,-0.4246381153893714
TVAE_10000_0,-0.181177178124922,-0.4246381153893714
TVAE_10000_0,-0.1677612396212741,-0.4246381153893714
TVAE_10000_0,-0.1811746226315252,-0.4246381153893714
TVAE_10000_0,-0.1683986963539287,-0.4246381153893714
TVAE_10000_0,-0.1698531228499302,-0.4246381153893714
TVAE_10000_0,-0.1690001676430728,-0.4246381153893714
TVAE_10000_0,-0.1803108674400365,-0.4246381153893714
TVAE_10000_0,-0.1956210326007199,-0.4246381153893714
TVAE_10000_0,-0.1716659314501172,-0.4246381153893714
TVAE_10000_0,-0.1902317160408538,-0.4246381153893714
TVAE_10000_0,-0.1658335589248698,-0.4246381153893714
TVAE_10000_0,-0.1629684631987024,-0.4246381153893714
TVAE_10000_0,-0.1677365711552418,-0.4246381153893714
TVAE_10000_0,-0.1650950840299469,-0.4246381153893714
TVAE_10000_0,-0.2059668987666151,-0.4246381153893714
TVAE_10000_0,-0.1899039359335359,-0.4246381153893714
TVAE_10000_0,-0.1694976088494509,-0.4246381153893714
TVAE_10000_0,-0.1586933960613041,-0.4246381153893714
TVAE_10000_0,-0.150992694724646,-0.4246381153893714
TVAE_10000_0,-0.1740632200334819,-0.4246381153893714
TVAE_10000_0,-0.1786403169134126,-0.4246381153893714
TVAE_10000_0,-0.1985355502730648,-0.4246381153893714
TVAE_10000_0,-0.1773377850327725,-0.4246381153893714
TVAE_10000_0,-0.1817115839133965,-0.4246381153893714
TVAE_10000_0,-0.1610950650127154,-0.4246381153893714
TVAE_10000_0,-0.1472309469700721,-0.4246381153893714
TVAE_10000_0,-0.1920839366797407,-0.4246381153893714
TVAE_10000_0,-0.1516985732843177,-0.4246381153893714
TVAE_10000_0,-0.1889512433114112,-0.4246381153893714
TVAE_10000_0,-0.1759645779769778,-0.4246381153893714
TVAE_10000_0,-0.176361915405157,-0.4246381153893714
TVAE_10000_0,-0.1589074976437851,-0.4246381153893714
TVAE_10000_0,-0.1905105753980688,-0.4246381153893714
TVAE_10000_0,-0.1611868770121358,-0.4246381153893714
TVAE_10000_0,-0.1648312422076595,-0.4246381153893714
TVAE_10000_0,-0.1885737593038426,-0.4246381153893714
TVAE_10000_0,-0.184702713868582,-0.4246381153893714
TVAE_10000_0,-0.1925550997664801,-0.4246381153893714
TVAE_10000_0,-0.1722529932741511,-0.4246381153893714
TVAE_10000_0,-0.1479070828565326,-0.4246381153893714
TVAE_10000_0,-0.1959748112993516,-0.4246381153893714
TVAE_10000_0,-0.1833635797604698,-0.4246381153893714
TVAE_10000_0,-0.1757126993423788,-0.4246381153893714
TVAE_10000_0,-0.1666567420757354,-0.4246381153893714
TVAE_10000_0,-0.1654240812304689,-0.4246381153893714
TVAE_10000_0,-0.1686852111453296,-0.4246381153893714
TVAE_10000_0,-0.187250274356652,-0.4246381153893714
TVAE_10000_0,-0.1821422552044802,-0.4246381153893714
TVAE_10000_0,-0.1697762483929378,-0.4246381153893714
TVAE_10000_0,-0.1493702957290343,-0.4246381153893714
TVAE_10000_0,-0.1631840092509378,-0.4246381153893714
TVAE_10000_0,-0.1727368787255958,-0.4246381153893714
TVAE_10000_0,-0.1683599029651054,-0.4246381153893714
TVAE_10000_0,-0.1885836773765007,-0.4246381153893714
TVAE_10000_0,-0.158776191170722,-0.4246381153893714
TVAE_10000_0,-0.1765504436961637,-0.4246381153893714
TVAE_10000_0,-0.1730701499856398,-0.4246381153893714
TVAE_10000_0,-0.1824214163331434,-0.4246381153893714
TVAE_10000_0,-0.1766628967902647,-0.4246381153893714
TVAE_10000_0,-0.1754430510297341,-0.4246381153893714
TVAE_10000_0,-0.201996034738096,-0.4246381153893714
TVAE_10000_0,-0.1796188281552771,-0.4246381153893714
TVAE_10000_0,-0.1673103204997278,-0.4246381153893714
TVAE_10000_0,-0.1825350405144294,-0.4246381153893714
TVAE_10000_0,-0.1610306113809417,-0.4246381153893714
TVAE_10000_0,-0.1797300215481665,-0.4246381153893714
TVAE_10000_0,-0.1836123359977752,-0.4246381153893714
TVAE_10000_0,-0.1839781695848989,-0.4246381153893714
TVAE_10000_0,-0.1660144491276053,-0.4246381153893714
TVAE_10000_0,-0.1653608030939957,-0.4246381153893714
TVAE_10000_0,-0.1452070390201868,-0.4246381153893714
TVAE_10000_0,-0.1665520554099328,-0.4246381153893714
TVAE_10000_0,-0.1602590892751843,-0.4246381153893714
TVAE_10000_0,-0.1789078173566474,-0.4246381153893714
CTGAN_10000_0,-0.6059009864340714,-0.4246381153893714
CTGAN_10000_0,-0.6153068264169005,-0.4246381153893714
CTGAN_10000_0,-0.6011222604022309,-0.4246381153893714
CTGAN_10000_0,-0.6077405837092744,-0.4246381153893714
CTGAN_10000_0,-0.6033824001916629,-0.4246381153893714
CTGAN_10000_0,-0.6120960426999167,-0.4246381153893714
CTGAN_10000_0,-0.6129902760095659,-0.4246381153893714
CTGAN_10000_0,-0.5975149659798354,-0.4246381153893714
CTGAN_10000_0,-0.5945762216947844,-0.4246381153893714
CTGAN_10000_0,-0.6076133304439557,-0.4246381153893714
CTGAN_10000_0,-0.6094851412675991,-0.4246381153893714
CTGAN_10000_0,-0.6027107316294824,-0.4246381153893714
CTGAN_10000_0,-0.6015246482327162,-0.4246381153893714
CTGAN_10000_0,-0.601369358326223,-0.4246381153893714
CTGAN_10000_0,-0.6215360986543471,-0.4246381153893714
CTGAN_10000_0,-0.6016401131676422,-0.4246381153893714
CTGAN_10000_0,-0.6121079704242777,-0.4246381153893714
CTGAN_10000_0,-0.5979558463042471,-0.4246381153893714
CTGAN_10000_0,-0.6036256226644388,-0.4246381153893714
CTGAN_10000_0,-0.5927276492478409,-0.4246381153893714
CTGAN_10000_0,-0.6096534519224853,-0.4246381153893714
CTGAN_10000_0,-0.593931731195834,-0.4246381153893714
CTGAN_10000_0,-0.6168663398607686,-0.4246381153893714
CTGAN_10000_0,-0.6155211235356839,-0.4246381153893714
CTGAN_10000_0,-0.6204351080825791,-0.4246381153893714
CTGAN_10000_0,-0.6068105125643593,-0.4246381153893714
CTGAN_10000_0,-0.5980151253603816,-0.4246381153893714
CTGAN_10000_0,-0.6081607181166314,-0.4246381153893714
CTGAN_10000_0,-0.600675521860911,-0.4246381153893714
CTGAN_10000_0,-0.6010592136286496,-0.4246381153893714
CTGAN_10000_0,-0.6077105873914113,-0.4246381153893714
CTGAN_10000_0,-0.6028481443179704,-0.4246381153893714
CTGAN_10000_0,-0.6086952108161093,-0.4246381153893714
CTGAN_10000_0,-0.5994130865898777,-0.4246381153893714
CTGAN_10000_0,-0.6137342149182271,-0.4246381153893714
CTGAN_10000_0,-0.6104860620533143,-0.4246381153893714
CTGAN_10000_0,-0.5894587646478527,-0.4246381153893714
CTGAN_10000_0,-0.6174502503575958,-0.4246381153893714
CTGAN_10000_0,-0.607167144121956,-0.4246381153893714
CTGAN_10000_0,-0.5994671115677588,-0.4246381153893714
CTGAN_10000_0,-0.6016869617381989,-0.4246381153893714
CTGAN_10000_0,-0.6037344554668599,-0.4246381153893714
CTGAN_10000_0,-0.6012683970957425,-0.4246381153893714
CTGAN_10000_0,-0.6109910887949356,-0.4246381153893714
CTGAN_10000_0,-0.6050028040530611,-0.4246381153893714
CTGAN_10000_0,-0.601921882630066,-0.4246381153893714
CTGAN_10000_0,-0.602641258606609,-0.4246381153893714
CTGAN_10000_0,-0.6140463629050432,-0.4246381153893714
CTGAN_10000_0,-0.5981575733802995,-0.4246381153893714
CTGAN_10000_0,-0.6114666098233293,-0.4246381153893714
CTGAN_10000_0,-0.6083872619869989,-0.4246381153893714
CTGAN_10000_0,-0.6013671543010978,-0.4246381153893714
CTGAN_10000_0,-0.5963002769627106,-0.4246381153893714
CTGAN_10000_0,-0.6005054264021034,-0.4246381153893714
CTGAN_10000_0,-0.620459256054995,-0.4246381153893714
CTGAN_10000_0,-0.5950989121776836,-0.4246381153893714
CTGAN_10000_0,-0.603812861932813,-0.4246381153893714
CTGAN_10000_0,-0.6047357819168437,-0.4246381153893714
CTGAN_10000_0,-0.6033639438438568,-0.4246381153893714
CTGAN_10000_0,-0.5969239863871845,-0.4246381153893714
CTGAN_10000_0,-0.6035588860732811,-0.4246381153893714
CTGAN_10000_0,-0.5993371792933191,-0.4246381153893714
CTGAN_10000_0,-0.6104279305590995,-0.4246381153893714
CTGAN_10000_0,-0.6051197637319112,-0.4246381153893714
CTGAN_10000_0,-0.6107769508521727,-0.4246381153893714
CTGAN_10000_0,-0.5981486212251661,-0.4246381153893714
CTGAN_10000_0,-0.605700485328918,-0.4246381153893714
CTGAN_10000_0,-0.6009229336903451,-0.4246381153893714
CTGAN_10000_0,-0.6079976370536228,-0.4246381153893714
CTGAN_10000_0,-0.6099169876868593,-0.4246381153893714
CTGAN_10000_0,-0.6191050806459641,-0.4246381153893714
CTGAN_10000_0,-0.590018289495084,-0.4246381153893714
CTGAN_10000_0,-0.601305573175039,-0.4246381153893714
CTGAN_10000_0,-0.601395624298315,-0.4246381153893714
CTGAN_10000_0,-0.6111598218558746,-0.4246381153893714
CTGAN_10000_0,-0.5965896648569028,-0.4246381153893714
CTGAN_10000_0,-0.6063186763013946,-0.4246381153893714
CTGAN_10000_0,-0.6144655544897306,-0.4246381153893714
CTGAN_10000_0,-0.6061345414922505,-0.4246381153893714
CTGAN_10000_0,-0.6128718176833778,-0.4246381153893714
CTGAN_10000_0,-0.6088799512865675,-0.4246381153893714
CTGAN_10000_0,-0.6080098578266364,-0.4246381153893714
CTGAN_10000_0,-0.617522507616001,-0.4246381153893714
CTGAN_10000_0,-0.6115494039905716,-0.4246381153893714
CTGAN_10000_0,-0.615556746374308,-0.4246381153893714
CTGAN_10000_0,-0.5985452538774275,-0.4246381153893714
CTGAN_10000_0,-0.5936683418764654,-0.4246381153893714
CTGAN_10000_0,-0.5963430730369568,-0.4246381153893714
CTGAN_10000_0,-0.6043205061532845,-0.4246381153893714
CTGAN_10000_0,-0.6079622575357866,-0.4246381153893714
CTGAN_10000_0,-0.5934810840485871,-0.4246381153893714
CTGAN_10000_0,-0.6112915579299998,-0.4246381153893714
CTGAN_10000_0,-0.5956947668589293,-0.4246381153893714
CTGAN_10000_0,-0.6171332312621362,-0.4246381153893714
CTGAN_10000_0,-0.6067014919754432,-0.4246381153893714
CTGAN_10000_0,-0.6069703336353767,-0.4246381153893714
CTGAN_10000_0,-0.6097511343445354,-0.4246381153893714
CTGAN_10000_0,-0.6079461715443295,-0.4246381153893714
CTGAN_10000_0,-0.6074556868747235,-0.4246381153893714
CTGAN_10000_0,-0.6076094241355535,-0.4246381153893714
TVAE_10000_10,-0.4004389758109248,-0.4263993753522883
TVAE_10000_10,-0.4059979115849261,-0.4263993753522883
TVAE_10000_10,-0.3807388397287656,-0.4263993753522883
TVAE_10000_10,-0.3780680935819727,-0.4263993753522883
TVAE_10000_10,-0.401038921483421,-0.4263993753522883
TVAE_10000_10,-0.4069876527431207,-0.4263993753522883
TVAE_10000_10,-0.4235036937061023,-0.4263993753522883
TVAE_10000_10,-0.354512961432122,-0.4263993753522883
TVAE_10000_10,-0.423523950980937,-0.4263993753522883
TVAE_10000_10,-0.4205299294149023,-0.4263993753522883
