variable,value,Simulated
TVAE_10000_0,-0.7466515118235559,-0.7522537137660057
TVAE_10000_0,-0.7532309454842699,-0.7522537137660057
TVAE_10000_0,-0.7440340800323201,-0.7522537137660057
TVAE_10000_0,-0.7394267446011707,-0.7522537137660057
TVAE_10000_0,-0.7528978716141971,-0.7522537137660057
TVAE_10000_0,-0.7474109668643412,-0.7522537137660057
TVAE_10000_0,-0.7447570712482956,-0.7522537137660057
TVAE_10000_0,-0.740845284682752,-0.7522537137660057
TVAE_10000_0,-0.7459321709963351,-0.7522537137660057
TVAE_10000_0,-0.7399940648128787,-0.7522537137660057
TVAE_10000_0,-0.7426323730646902,-0.7522537137660057
TVAE_10000_0,-0.7427720397228326,-0.7522537137660057
TVAE_10000_0,-0.7396375420429876,-0.7522537137660057
TVAE_10000_0,-0.7492009999357234,-0.7522537137660057
TVAE_10000_0,-0.7481610208048828,-0.7522537137660057
TVAE_10000_0,-0.7407888337251622,-0.7522537137660057
TVAE_10000_0,-0.737037423739867,-0.7522537137660057
TVAE_10000_0,-0.7426937090321516,-0.7522537137660057
TVAE_10000_0,-0.7443028543438565,-0.7522537137660057
TVAE_10000_0,-0.748031385053218,-0.7522537137660057
TVAE_10000_0,-0.7453225440191075,-0.7522537137660057
TVAE_10000_0,-0.7558759722736692,-0.7522537137660057
TVAE_10000_0,-0.7434634395403257,-0.7522537137660057
TVAE_10000_0,-0.7375352108678639,-0.7522537137660057
TVAE_10000_0,-0.7410137914857066,-0.7522537137660057
TVAE_10000_0,-0.7473706676188808,-0.7522537137660057
TVAE_10000_0,-0.7429629579875318,-0.7522537137660057
TVAE_10000_0,-0.7449104166557339,-0.7522537137660057
TVAE_10000_0,-0.7475314243617953,-0.7522537137660057
TVAE_10000_0,-0.7481061911440047,-0.7522537137660057
TVAE_10000_0,-0.7478198227030096,-0.7522537137660057
TVAE_10000_0,-0.7438427866045135,-0.7522537137660057
TVAE_10000_0,-0.7496445527208339,-0.7522537137660057
TVAE_10000_0,-0.7475944663461511,-0.7522537137660057
TVAE_10000_0,-0.7405994889269419,-0.7522537137660057
TVAE_10000_0,-0.7376209286224141,-0.7522537137660057
TVAE_10000_0,-0.7397366321381768,-0.7522537137660057
TVAE_10000_0,-0.7432149196111171,-0.7522537137660057
TVAE_10000_0,-0.7451096912709773,-0.7522537137660057
TVAE_10000_0,-0.7426494510627731,-0.7522537137660057
TVAE_10000_0,-0.7426841495078164,-0.7522537137660057
TVAE_10000_0,-0.7409632300062179,-0.7522537137660057
TVAE_10000_0,-0.7415140773955798,-0.7522537137660057
TVAE_10000_0,-0.7411446288454022,-0.7522537137660057
TVAE_10000_0,-0.7392108722514462,-0.7522537137660057
TVAE_10000_0,-0.748827285586377,-0.7522537137660057
TVAE_10000_0,-0.7501428173709234,-0.7522537137660057
TVAE_10000_0,-0.7390016653515169,-0.7522537137660057
TVAE_10000_0,-0.7448851776953677,-0.7522537137660057
TVAE_10000_0,-0.7517430954728622,-0.7522537137660057
TVAE_10000_0,-0.7455811218069395,-0.7522537137660057
TVAE_10000_0,-0.7438906066329416,-0.7522537137660057
TVAE_10000_0,-0.7482807720805632,-0.7522537137660057
TVAE_10000_0,-0.7439788068949837,-0.7522537137660057
TVAE_10000_0,-0.7464814943334483,-0.7522537137660057
TVAE_10000_0,-0.7401691020735728,-0.7522537137660057
TVAE_10000_0,-0.7385478604887294,-0.7522537137660057
TVAE_10000_0,-0.7392009479252303,-0.7522537137660057
TVAE_10000_0,-0.7463607184126524,-0.7522537137660057
