Column,Metric,Score,df_type,synthesizer_type
countryCode,TVComplement,0.9721,10000 row 0 missing,GC
dateOfBirth,KSComplement,0.9452,10000 row 0 missing,GC
Language,TVComplement,0.9881000000000001,10000 row 0 missing,GC
rating,KSComplement,0.9032,10000 row 0 missing,GC
gender,TVComplement,0.9917,10000 row 0 missing,GC
pilStatus,TVComplement,0.9986999999999999,10000 row 0 missing,GC
countryCode,TVComplement,0.9747443309168213,10000 row 10 missing,GC
dateOfBirth,KSComplement,0.9536884400104009,10000 row 10 missing,GC
Language,TVComplement,0.9838787754375881,10000 row 10 missing,GC
rating,KSComplement,0.9029817027274842,10000 row 10 missing,GC
gender,TVComplement,0.9932491001902259,10000 row 10 missing,GC
pilStatus,TVComplement,0.9976197397052182,10000 row 10 missing,GC
countryCode,TVComplement,0.9621911138899399,10000 row 20 missing,GC
dateOfBirth,KSComplement,0.9443451765063907,10000 row 20 missing,GC
Language,TVComplement,0.9822932137012845,10000 row 20 missing,GC
rating,KSComplement,0.9016380858186245,10000 row 20 missing,GC
gender,TVComplement,0.9964990109555691,10000 row 20 missing,GC
pilStatus,TVComplement,0.9992555538648813,10000 row 20 missing,GC
countryCode,TVComplement,0.98372,25000 row 0 missing,GC
dateOfBirth,KSComplement,0.95044,25000 row 0 missing,GC
Language,TVComplement,0.99144,25000 row 0 missing,GC
rating,KSComplement,0.91388,25000 row 0 missing,GC
gender,TVComplement,0.9980800000000001,25000 row 0 missing,GC
pilStatus,TVComplement,0.99532,25000 row 0 missing,GC
countryCode,TVComplement,0.9849168971518543,25000 row 10 missing,GC
dateOfBirth,KSComplement,0.9596859076198883,25000 row 10 missing,GC
Language,TVComplement,0.9881749534176718,25000 row 10 missing,GC
rating,KSComplement,0.9155059331175837,25000 row 10 missing,GC
gender,TVComplement,0.9967856428361284,25000 row 10 missing,GC
pilStatus,TVComplement,0.9992596646072374,25000 row 10 missing,GC
countryCode,TVComplement,0.9784314769962497,25000 row 20 missing,GC
dateOfBirth,KSComplement,0.9606470509383378,25000 row 20 missing,GC
Language,TVComplement,0.9885155252254447,25000 row 20 missing,GC
rating,KSComplement,0.9124376431879113,25000 row 20 missing,GC
gender,TVComplement,0.997078759444309,25000 row 20 missing,GC
pilStatus,TVComplement,0.9988111381915672,25000 row 20 missing,GC
countryCode,TVComplement,0.9897800000000001,50000 row 0 missing,GC
dateOfBirth,KSComplement,0.94904,50000 row 0 missing,GC
Language,TVComplement,0.99372,50000 row 0 missing,GC
rating,KSComplement,0.8880399999999999,50000 row 0 missing,GC
gender,TVComplement,0.99596,50000 row 0 missing,GC
pilStatus,TVComplement,0.9994000000000001,50000 row 0 missing,GC
countryCode,TVComplement,0.98601149596005,50000 row 10 missing,GC
dateOfBirth,KSComplement,0.95600111356751,50000 row 10 missing,GC
Language,TVComplement,0.9890406779661017,50000 row 10 missing,GC
rating,KSComplement,0.8893354130844182,50000 row 10 missing,GC
gender,TVComplement,0.9984572013428314,50000 row 10 missing,GC
pilStatus,TVComplement,0.999485056906575,50000 row 10 missing,GC
countryCode,TVComplement,0.9848748229448905,50000 row 20 missing,GC
dateOfBirth,KSComplement,0.9491370523203893,50000 row 20 missing,GC
Language,TVComplement,0.9862256551596711,50000 row 20 missing,GC
rating,KSComplement,0.8894101669078927,50000 row 20 missing,GC
gender,TVComplement,0.9978043613155545,50000 row 20 missing,GC
pilStatus,TVComplement,0.9996273026822283,50000 row 20 missing,GC
countryCode,TVComplement,0.7016000000000002,10000 row 0 missing,CTGAN
dateOfBirth,KSComplement,0.9349,10000 row 0 missing,CTGAN
Language,TVComplement,0.7298,10000 row 0 missing,CTGAN
rating,KSComplement,0.9193,10000 row 0 missing,CTGAN
gender,TVComplement,0.8392999999999999,10000 row 0 missing,CTGAN
pilStatus,TVComplement,0.9266,10000 row 0 missing,CTGAN
countryCode,TVComplement,0.6710186966545421,10000 row 10 missing,CTGAN
dateOfBirth,KSComplement,0.9258173076923077,10000 row 10 missing,CTGAN
Language,TVComplement,0.7162168804196458,10000 row 10 missing,CTGAN
rating,KSComplement,0.9305587606837606,10000 row 10 missing,CTGAN
gender,TVComplement,0.8739636752136751,10000 row 10 missing,CTGAN
pilStatus,TVComplement,0.9692195512820513,10000 row 10 missing,CTGAN
countryCode,TVComplement,0.7007429589078256,10000 row 20 missing,CTGAN
dateOfBirth,KSComplement,0.933628348060196,10000 row 20 missing,CTGAN
Language,TVComplement,0.7410132199467678,10000 row 20 missing,CTGAN
rating,KSComplement,0.9396691460720696,10000 row 20 missing,CTGAN
gender,TVComplement,0.9227803223802292,10000 row 20 missing,CTGAN
pilStatus,TVComplement,0.9704505211928759,10000 row 20 missing,CTGAN
countryCode,TVComplement,0.7032,25000 row 0 missing,CTGAN
dateOfBirth,KSComplement,0.9339999999999999,25000 row 0 missing,CTGAN
Language,TVComplement,0.7474000000000001,25000 row 0 missing,CTGAN
rating,KSComplement,0.96332,25000 row 0 missing,CTGAN
gender,TVComplement,0.9442,25000 row 0 missing,CTGAN
pilStatus,TVComplement,0.97988,25000 row 0 missing,CTGAN
countryCode,TVComplement,0.6512495774205315,25000 row 10 missing,CTGAN
dateOfBirth,KSComplement,0.8916717641565635,25000 row 10 missing,CTGAN
Language,TVComplement,0.7047209583152202,25000 row 10 missing,CTGAN
rating,KSComplement,0.9264779210742404,25000 row 10 missing,CTGAN
gender,TVComplement,0.9238779564958379,25000 row 10 missing,CTGAN
pilStatus,TVComplement,0.9925626302146227,25000 row 10 missing,CTGAN
countryCode,TVComplement,0.6765207315279944,25000 row 20 missing,CTGAN
dateOfBirth,KSComplement,0.9336349921195493,25000 row 20 missing,CTGAN
Language,TVComplement,0.7149569318778823,25000 row 20 missing,CTGAN
rating,KSComplement,0.951173702644329,25000 row 20 missing,CTGAN
gender,TVComplement,0.8875483655361625,25000 row 20 missing,CTGAN
pilStatus,TVComplement,0.9550225731130699,25000 row 20 missing,CTGAN
countryCode,TVComplement,0.6846400000000001,50000 row 0 missing,CTGAN
dateOfBirth,KSComplement,0.9121600000000001,50000 row 0 missing,CTGAN
Language,TVComplement,0.74298,50000 row 0 missing,CTGAN
rating,KSComplement,0.93304,50000 row 0 missing,CTGAN
gender,TVComplement,0.90872,50000 row 0 missing,CTGAN
pilStatus,TVComplement,0.8813799999999999,50000 row 0 missing,CTGAN
countryCode,TVComplement,0.6699441606816384,50000 row 10 missing,CTGAN
dateOfBirth,KSComplement,0.9573044968347523,50000 row 10 missing,CTGAN
Language,TVComplement,0.7596987120716001,50000 row 10 missing,CTGAN
rating,KSComplement,0.904587862912028,50000 row 10 missing,CTGAN
gender,TVComplement,0.9140179873390089,50000 row 10 missing,CTGAN
pilStatus,TVComplement,0.931309866841301,50000 row 10 missing,CTGAN
countryCode,TVComplement,0.6667422484925281,50000 row 20 missing,CTGAN
dateOfBirth,KSComplement,0.8342721578889529,50000 row 20 missing,CTGAN
Language,TVComplement,0.7438346829780387,50000 row 20 missing,CTGAN
rating,KSComplement,0.9463278256270776,50000 row 20 missing,CTGAN
gender,TVComplement,0.919865094508091,50000 row 20 missing,CTGAN
pilStatus,TVComplement,0.9524762713261353,50000 row 20 missing,CTGAN
countryCode,TVComplement,0.5125000000000006,10000 row 0 missing,TVAE
dateOfBirth,KSComplement,0.9381,10000 row 0 missing,TVAE
Language,TVComplement,0.9088,10000 row 0 missing,TVAE
rating,KSComplement,0.9641,10000 row 0 missing,TVAE
gender,TVComplement,0.9544,10000 row 0 missing,TVAE
pilStatus,TVComplement,0.9992000000000001,10000 row 0 missing,TVAE
countryCode,TVComplement,0.5543989990231115,10000 row 10 missing,TVAE
dateOfBirth,KSComplement,0.9476459378805518,10000 row 10 missing,TVAE
Language,TVComplement,0.9062025372355373,10000 row 10 missing,TVAE
rating,KSComplement,0.9594455150079623,10000 row 10 missing,TVAE
gender,TVComplement,0.9579022976969502,10000 row 10 missing,TVAE
pilStatus,TVComplement,0.99089839014011,10000 row 10 missing,TVAE
countryCode,TVComplement,0.5461697383636885,10000 row 20 missing,TVAE
dateOfBirth,KSComplement,0.9568574732581671,10000 row 20 missing,TVAE
Language,TVComplement,0.8551992989303268,10000 row 20 missing,TVAE
rating,KSComplement,0.9028370916449842,10000 row 20 missing,TVAE
gender,TVComplement,0.9526445504481064,10000 row 20 missing,TVAE
pilStatus,TVComplement,0.9918074226655103,10000 row 20 missing,TVAE
countryCode,TVComplement,0.5975999999999991,25000 row 0 missing,TVAE
dateOfBirth,KSComplement,0.9504,25000 row 0 missing,TVAE
Language,TVComplement,0.9068799999999999,25000 row 0 missing,TVAE
rating,KSComplement,0.94548,25000 row 0 missing,TVAE
gender,TVComplement,0.9565600000000001,25000 row 0 missing,TVAE
pilStatus,TVComplement,0.99576,25000 row 0 missing,TVAE
countryCode,TVComplement,0.6425765157178631,25000 row 10 missing,TVAE
dateOfBirth,KSComplement,0.9495852272547999,25000 row 10 missing,TVAE
Language,TVComplement,0.9017692460599176,25000 row 10 missing,TVAE
rating,KSComplement,0.9468002587281305,25000 row 10 missing,TVAE
gender,TVComplement,0.958451291274236,25000 row 10 missing,TVAE
pilStatus,TVComplement,0.9844947197374856,25000 row 10 missing,TVAE
countryCode,TVComplement,0.5548614745041711,25000 row 20 missing,TVAE
dateOfBirth,KSComplement,0.9047098116126181,25000 row 20 missing,TVAE
Language,TVComplement,0.8916197005690294,25000 row 20 missing,TVAE
rating,KSComplement,0.9335028561957903,25000 row 20 missing,TVAE
gender,TVComplement,0.984909422131374,25000 row 20 missing,TVAE
pilStatus,TVComplement,0.9993828683498149,25000 row 20 missing,TVAE
countryCode,TVComplement,0.7774799999999995,50000 row 0 missing,TVAE
dateOfBirth,KSComplement,0.9527599999999999,50000 row 0 missing,TVAE
Language,TVComplement,0.8946399999999999,50000 row 0 missing,TVAE
rating,KSComplement,0.96388,50000 row 0 missing,TVAE
gender,TVComplement,0.96878,50000 row 0 missing,TVAE
pilStatus,TVComplement,0.9875,50000 row 0 missing,TVAE
countryCode,TVComplement,0.7685504071490273,50000 row 10 missing,TVAE
dateOfBirth,KSComplement,0.9407722154969943,50000 row 10 missing,TVAE
Language,TVComplement,0.9307946343028007,50000 row 10 missing,TVAE
rating,KSComplement,0.9825109352205357,50000 row 10 missing,TVAE
gender,TVComplement,0.9810679599797208,50000 row 10 missing,TVAE
pilStatus,TVComplement,0.9987376954196024,50000 row 10 missing,TVAE
countryCode,TVComplement,0.6692008586672586,50000 row 20 missing,TVAE
dateOfBirth,KSComplement,0.9477841799588729,50000 row 20 missing,TVAE
Language,TVComplement,0.9129613405213138,50000 row 20 missing,TVAE
rating,KSComplement,0.9750466306341355,50000 row 20 missing,TVAE
gender,TVComplement,0.9971453148446618,50000 row 20 missing,TVAE
pilStatus,TVComplement,0.9836395598288223,50000 row 20 missing,TVAE
